y x hat B.1 B.2 B.3 B.4 B.5 B.6 B.7 B.8 B.9 B.10
-0.525780180890805 0.298298298298298 -0.441151766730508 0 -0.091278700072898 0.502661018620639 -0.852512823675757 -2.1261602493897e-05 0 0 0 0 0
-0.53825149612987 0.3003003003003 -0.455509951074351 0 -0.0892862008048741 0.503464816132384 -0.869655457216658 -3.31091852040047e-05 0 0 0 0 0
-0.550920227514044 0.302302302302302 -0.47018480205741 0 -0.0873229104232429 0.504171835707305 -0.886985028128174 -4.86992133004935e-05 0 0 0 0 0
-0.563786412356727 0.304304304304304 -0.485170954932794 0 -0.0853886132505732 0.504783099794497 -0.904496896120962 -6.85453557579648e-05 0 0 0 0 0
-0.576850022453605 0.306306306306306 -0.500463044953607 0 -0.0834830936094339 0.505299630843057 -0.922186420905681 -9.31612815510192e-05 0 0 0 0 0
-0.59011096351479 0.308308308308308 -0.516055707372958 0 -0.0816061358223937 0.505722451302078 -0.94004896219299 -0.000123060659654259 0 0 0 0 0
-0.603569074613277 0.31031031031031 -0.531943577443953 0 -0.0797575242120215 0.506052583620657 -0.958079879693548 -0.000158757159042286 0 0 0 0 0
-0.617224127649922 0.312312312312312 -0.548121290419698 0 -0.077937043100886 0.506291050247888 -0.976274533118012 -0.0002007644486897 0 0 0 0 0
-0.631075826835166 0.314314314314314 -0.5645834815533 0 -0.0761444768115563 0.506438873632869 -0.994628282177042 -0.000249596197571104 0 0 0 0 0
-0.645123808187709 0.316316316316316 -0.581324786097864 0 -0.0743796096666011 0.506497076224692 -1.0131364865813 -0.000305766074661096 0 0 0 0 0
-0.659367639050333 0.318318318318318 -0.598339839306498 0 -0.0726422259885891 0.506466680472455 -1.03179450604143 -0.000369787748934282 0 0 0 0 0
-0.67380681762308 0.32032032032032 -0.615623276432309 0 -0.0709321101000892 0.506348708825252 -1.05059770026811 -0.000442174889365261 0 0 0 0 0
-0.688440772513987 0.322322322322322 -0.633169732728404 0 -0.0692490463236704 0.506144183732179 -1.06954142897198 -0.000523441164928634 0 0 0 0 0
-0.703268862307556 0.324324324324324 -0.650973843447887 0 -0.0675928189819013 0.50585412764233 -1.08862105186372 -0.000614100244599003 0 0 0 0 0
-0.718290375151168 0.326326326326326 -0.669030243843866 0 -0.0659632123973509 0.505479563004803 -1.10783192865397 -0.000714665797350966 0 0 0 0 0
-0.733504528359609 0.328328328328328 -0.687333569169449 0 -0.064360010892588 0.505021512268692 -1.12716941905339 -0.000825651492159131 0 0 0 0 0
-0.748910468037902 0.33033033033033 -0.70587845467774 0 -0.0627829987901813 0.504480997883091 -1.14662888277265 -0.000947570997998095 0 0 0 0 0
-0.76450726872261 0.332332332332332 -0.724659535621848 0 -0.0612319604126997 0.503859042297098 -1.1662056795224 -0.00108093798384246 0 0 0 0 0
-0.780293933041803 0.334334334334334 -0.743671447254878 0 -0.0597066800827121 0.503156667959806 -1.18589516901331 -0.00122626611866683 0 0 0 0 0
-0.796269391393828 0.336336336336336 -0.762908824829935 0 -0.0582069421227873 0.502374897320312 -1.20569271095602 -0.00138406907144579 0 0 0 0 0
-0.812432501645086 0.338338338338338 -0.78236630360013 0 -0.0567325308554941 0.501514752827711 -1.22559366506119 -0.00155486051115397 0 0 0 0 0
-0.828782048846929 0.34034034034034 -0.802038518818566 0 -0.0552832306034014 0.500577256931098 -1.2455933910395 -0.00173915410676595 0 0 0 0 0
-0.845316744971887 0.342342342342342 -0.821920105738351 0 -0.0538588256890779 0.499563432079568 -1.26568724860159 -0.00193746352725635 0 0 0 0 0
-0.862035228669328 0.344344344344344 -0.84200569961259 0 -0.0524591004350925 0.498474300722218 -1.28587059745812 -0.00215030244159974 0 0 0 0 0
-0.878936065040729 0.346346346346346 -0.862289935694392 0 -0.051083839164014 0.497310885308142 -1.30613879731975 -0.00237818451877075 0 0 0 0 0
-0.896017745434692 0.348348348348348 -0.882767449236861 0 -0.0497328261984114 0.496074208286436 -1.32648720789714 -0.00262162342774397 0 0 0 0 0
-0.913278687261845 0.35035035035035 -0.903432875493106 0 -0.0484058458608533 0.494765292106194 -1.34691118890095 -0.00288113283749401 0 0 0 0 0
-0.930717233829754 0.352352352352352 -0.924280849716232 0 -0.0471026824739087 0.493385159216513 -1.36740610004184 -0.00315722641699546 0 0 0 0 0
-0.948331654197991 0.354354354354354 -0.945306007159346 0 -0.0458231203601463 0.491934832066489 -1.38796730103047 -0.00345041783522292 0 0 0 0 0
-0.96612014305347 0.356356356356356 -0.966502983075554 0 -0.044566943842135 0.490415333105215 -1.40859015157748 -0.003761220761151 0 0 0 0 0
-0.984080820606176 0.358358358358358 -0.987866412717964 0 -0.0433339372424436 0.488827684781788 -1.42927001139355 -0.00409014886375429 0 0 0 0 0
-1.00221173250541 0.36036036036036 -1.00939093133968 0 -0.042123884883641 0.487172909545303 -1.45000224018934 -0.00443771581200741 0 0 0 0 0
-1.02051084977663 0.362362362362362 -1.03107117419381 0 -0.0409365710882959 0.485452029844855 -1.47078219767549 -0.00480443527488495 0 0 0 0 0
-1.03897606877905 0.364364364364364 -1.05290177653346 0 -0.0397717801789773 0.483666068129541 -1.49160524356267 -0.00519082092136152 0 0 0 0 0
-1.05760521118406 0.366366366366366 -1.07487737361174 0 -0.0386292964782539 0.481816046848454 -1.51246673756153 -0.0055973864204117 0 0 0 0 0
